Numero de catalogacao(HIP),Ascensao  reta(alpha),Declinacao (delta),Magnitude visual(V)
110130,334.62574257,-60.25949486,2.87
110395,335.41374983,-1.38735315,3.86
110960,337.20750231,-0.02006304,3.65
110997,337.31730866,-43.49555433,3.97
111169,337.82239898,50.28244976,3.76
112029,340.36531181,10.83139111,3.41
112122,340.66639531,-46.88456594,2.07
112158,340.75053573,30.22130866,2.93
112440,341.63267663,23.56567939,3.97
112623,342.13832136,-51.31670354,3.49
112724,342.42046735,66.20071089,3.5
112748,342.5004181,24.60168486,3.51
112961,343.15360192,-7.57967878,3.73
113136,343.6626635,-15.82075994,3.27
113368,344.41177323,-29.62183701,1.17
113726,345.48019377,42.32597866,3.62
113881,345.94305575,28.08245462,2.44
113963,346.1900702,15.20536786,2.49
114341,347.36150879,-21.17248555,3.68
114421,347.58928308,-45.24664747,3.88
114971,349.28955677,3.28224524,3.7
114996,349.35755018,-58.23592762,3.99
115438,350.7429228,-20.10034505,3.96
116584,354.3904487,46.45917621,3.81
116727,354.83742516,77.63196681,3.21
